Feature,Coefficient
fr_ArN,0.04710116712152512
NumSaturatedRings,0.046510145676133874
fr_Imine,0.04297698791975435
MaxEStateIndex,-0.041554679560989544
MaxAbsEStateIndex,-0.04155467863028233
fr_Ndealkylation1,-0.041265816292311186
fr_Al_OH_noTert,0.0409439227352868
fr_alkyl_halide,-0.03748049642167928
fr_alkyl_carbamate,-0.0346963387437782
fr_isothiocyan,0.03276156190553081
fr_piperzine,-0.029839247349123355
fr_Ar_OH,0.028731424612757905
fr_Ar_NH,-0.02502876816057409
fr_Nhpyrrole,-0.025028767832210974
fr_hdrzine,0.023575941663652955
fr_tetrazole,-0.021836260117389372
fr_oxazole,0.01741239253993454
fr_lactone,-0.01631005702144961
NumSaturatedHeterocycles,0.015993836373731973
fr_HOCCN,0.01293371941469168
Chi4n,0.010338558086992578
fr_priamide,-0.009983860571482595
NumSpiroAtoms,-0.009142768722188777
fr_allylic_oxid,0.00699196528671564
MinAbsEStateIndex,0.004328900282865256
fr_SH,0.004284656905547024
MinPartialCharge,-0.0038886495796724846
fr_Ndealkylation2,0.003523626595253404
fr_para_hydroxylation,-0.0029536951873296857
