CID,MW,XLogP3,HBDC,HDAC,RBC,ExactMass,MonoMass,TPSA,HAC,Charge,Complexity,IsotopeAtoms,DASC,UASC,DBSC,UBSC,CBU,chembl_id,ic50_value,log_ic50,target_chembl_id,target_name
4798854,473.4,2.8,1,6,5,472.0738818,472.0738818,108.0,30,0,832.0,0,0,0,0,0,1,CHEMBL4867592,4000.0,3.6020599913279625,CHEMBL3137261,PRMT5/MEP50 complex
5691857,474.5,3.7,2,8,5,474.08855747,474.08855747,134.0,34,0,862.0,0,0,0,0,0,1,CHEMBL1499658,2000.0,3.3010299956639813,CHEMBL2093862,Runt-related transcription factor 1/Core-binding factor subunit beta
70696317,647.8,6.8,1,7,10,647.25662585,647.25662585,121.0,47,0,1160.0,0,0,0,0,0,1,CHEMBL2031007,150.0,2.1760912590556813,CHEMBL4860,Apoptosis regulator Bcl-2
45138355,604.5,5.6,3,7,8,603.197937,603.197937,103.0,41,0,990.0,0,4,0,0,0,1,CHEMBL2402729,56.0,1.7481880270062005,CHEMBL5023,p53-binding protein Mdm-2
661982,433.5,3.8,1,6,9,433.20015635,433.20015635,86.9,32,0,720.0,0,0,1,0,0,1,CHEMBL1402874,4134.0,3.6163704722912695,CHEMBL2096976,Peroxisome proliferator-activated receptor gamma/Nuclear receptor corepressor 2
46907075,318.4,4.0,2,3,1,318.21949481,318.21949481,57.5,23,0,583.0,0,7,0,0,0,1,CHEMBL1165054,10000.0,4.0,CHEMBL394,HCT-116
11567780,412.5,2.2,3,6,7,412.12052631,412.12052631,118.0,29,0,610.0,0,0,0,0,0,1,CHEMBL371213,320.0,2.505149978319906,CHEMBL1949,Cyclophilin A
662069,315.15,1.8,0,5,3,313.93608,313.93608,87.7,17,0,422.0,0,0,0,0,0,1,CHEMBL1517409,6294.0,3.7989267385772014,CHEMBL2096976,Peroxisome proliferator-activated receptor gamma/Nuclear receptor corepressor 2
172446669,809.0,-5.3,12,12,26,808.53954056,808.53954056,381.0,57,0,1390.0,0,6,2,0,0,1,CHEMBL5394495,2410.0,3.3820170425748683,CHEMBL5482974,VEGA-NRP1
2836622,335.66,3.6,1,8,2,335.005746,335.005746,143.0,23,0,472.0,0,0,0,0,0,1,CHEMBL2311968,400.0,2.6020599913279625,CHEMBL3885518,Aryl hydrocarbon receptor nuclear translocator/Endothelial PAS domain-containing protein 1
44191246,741.6,9.5,8,8,9,740.1692214,740.1692214,180.0,52,0,1130.0,0,0,0,0,0,1,CHEMBL553474,3200.0,3.505149978319906,CHEMBL4361,Induced myeloid leukemia cell differentiation protein Mcl-1
136359952,518.5,6.2,1,4,7,517.1357537,517.1357537,87.1,34,0,784.0,0,3,0,0,0,1,CHEMBL4112284,1760.0,3.24551266781415,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
90655405,731.7,7.2,1,10,11,730.1316544,730.1316544,141.0,47,0,1280.0,0,4,0,0,0,1,CHEMBL3236661,1.3,0.11394335230683679,CHEMBL5023,p53-binding protein Mdm-2
156405844,326.4,2.7,1,7,4,326.04580766,326.04580766,100.0,20,0,461.0,0,1,0,0,0,1,CHEMBL5433224,1400.0,3.146128035678238,CHEMBL3885518,Aryl hydrocarbon receptor nuclear translocator/Endothelial PAS domain-containing protein 1
118714477,1969.4,-2.9,20,27,40,1968.01475225,1968.01475225,753.0,136,0,4090.0,0,17,0,0,0,1,CHEMBL3335452,150.0,2.1760912590556813,CHEMBL3430909,Transcriptional coactivator YAP1/Transcriptional enhancer factor TEF-1
166633871,419.5,5.3,2,6,7,419.23212518,419.23212518,92.9,31,0,623.0,0,0,0,0,0,1,CHEMBL5085142,8400.0,3.9242792860618816,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
