chembl_id,ic50_value,units,pchembl_value,target_chembl_id,target_name,assay_chembl_id,activity_comment
CHEMBL2181716,1400,nM,5.85,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181717,2200,nM,5.66,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181718,1100,nM,5.96,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181719,1000,nM,6,CHEMBL1163125,Bromodomain-containing protein 4,CHEMBL2182558,
CHEMBL2181720,1300,nM,5.89,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181721,125.89,nM,6.9,CHEMBL613107,PBMC,CHEMBL2186995,
CHEMBL2181722,200,nM,6.7,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL3624111,
CHEMBL2181723,700,nM,6.16,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181724,1000,nM,6,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181725,2200,nM,5.66,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181726,1800,nM,5.75,CHEMBL1293289,Bromodomain-containing protein 2,CHEMBL2182560,
CHEMBL2181727,4300,nM,5.37,CHEMBL1293289,Bromodomain-containing protein 2,CHEMBL2182560,
CHEMBL2181728,1900,nM,5.72,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181729,3600,nM,5.44,CHEMBL1293289,Bromodomain-containing protein 2,CHEMBL2182560,
CHEMBL2181730,1500,nM,5.82,CHEMBL1293289,Bromodomain-containing protein 2,CHEMBL2182560,
CHEMBL2181731,4900,nM,5.31,CHEMBL1293289,Bromodomain-containing protein 2,CHEMBL2182560,
CHEMBL2181732,1900,nM,5.72,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181733,4700,nM,5.33,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181734,5600,nM,5.25,CHEMBL1163125,Bromodomain-containing protein 4,CHEMBL2182558,
CHEMBL2181735,13000,nM,4.89,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181736,3800,nM,5.42,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181737,13000,nM,4.89,CHEMBL1293289,Bromodomain-containing protein 2,CHEMBL2182560,
CHEMBL2181738,3300,nM,5.48,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181739,3000,nM,5.52,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181740,8600,nM,5.07,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181741,4200,nM,5.38,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL2181742,1800,nM,5.75,CHEMBL1795186,Bromodomain-containing protein 3,CHEMBL2182559,
CHEMBL285674,46.6,nM,7.33,CHEMBL612545,Unchecked,CHEMBL990634,
CHEMBL3110228,12000,nM,4.92,CHEMBL1741220,Bromodomain adjacent to zinc finger domain protein 2B,CHEMBL3111111,
CHEMBL3110241,9000,nM,5.05,CHEMBL1741220,Bromodomain adjacent to zinc finger domain protein 2B,CHEMBL3111111,
CHEMBL52030,10000,nM,5,CHEMBL364,Plasmodium falciparum,CHEMBL1267251,
CHEMBL646,1.54,nM,8.81,CHEMBL612545,Unchecked,CHEMBL990634,
